Número Município Nome                        Aponds
   584 3305554   Seropédica                       4
   585 3305802   Teresópolis                      9
   586 3306008   Três Rios                        4
   587 3306107   Valença                          3
   588 3306206   Vassouras                        2
   589 3306305   Volta Redonda                   10
   590 3500105   Adamantina                       2
   591 3500709   Agudos                           2
   592 3501608   Americana                       10
   593 3501707   Américo Brasiliense              2
   594 3501905   Amparo                           3
   595 3502101   Andradina                        3
   596 3502507   Aparecida                        2
   597 3502804   Araçatuba                       11
   598 3503208   Araraquara                      15
   599 3503307   Araras                           7
   600 3503802   Artur Nogueira                   2
   601 3503901   Arujá                            3
   602 3504008   Assis                            4
   603 3504107   Atibaia                          7
   604 3504503   Avaré                            4
   605 3505203   Bariri                           2
   606 3505302   Barra Bonita                     2
   607 3505500   Barretos                         6
   608 3505609   Barrinha                         2
   609 3505708   Barueri                         13
   610 3505906   Batatais                         3
   611 3506003   Bauru                           17
   612 3506102   Bebedouro                        4
   613 3506359   Bertioga                         2
   614 3506508   Birigui                          6
   615 3507001   Boituva                          2
   616 3507506   Botucatu                         7
   617 3507605   Bragança Paulista                9
   618 3508405   Cabreúva                         2
   619 3508504   Caçapava                         4
   620 3509007   Caieiras                         4
   621 3509205   Cajamar                          3
   622 3509502   Campinas                        36
   623 3509601   Campo Limpo Paulista             4
   624 3509700   Campos do Jordão                 2
   625 3510203   Capão Bonito                     2
   626 3510401   Capivari                         2
   627 3510500   Caraguatatuba                    6
   628 3510609   Carapicuíba                      7
   629 3510807   Casa Branca                      2
   630 3511102   Catanduva                        7
   631 3511508   Cerquilho                        2
   632 3512803   Cosmópolis                       3
   633 3513009   Cotia                           10
   634 3513108   Cravinhos                        2
   635 3513405   Cruzeiro                         4
   636 3513504   Cubatão                          5
   637 3513702   Descalvado                       2
   638 3513801   Diadema                         22
   639 3514403   Dracena                          2
   640 3515004   Embu                            12
   641 3515103   Embu-Guaçu                       3
   642 3515186   Espírito Santo do Pinhal         2
   643 3515509   Fernandópolis                    4
   644 3515707   Ferraz de Vasconcelos            8
   645 3516200   Franca                          21
   646 3516309   Francisco Morato                 5
   647 3516408   Franco da Rocha                  6
   648 3516705   Garça                            2
   649 3517406   Guaíra                           2
   650 3518206   Guararapes                       2
   651 3518404   Guaratinguetá                    4
   652 3518602   Guariba                          2
   653 3518701   Guarujá                         15
   654 3518800   Guarulhos                       30
   655 3519071   Hortolândia                      9
   656 3519600   Ibitinga                         2
   657 3519709   Ibiúna                           3
   658 3520509   Indaiatuba                       3
   659 3522109   Itanhaém                         5
   660 3522208   Itapecerica da Serra             7
   661 3522307   Itapetininga                     7
   662 3522406   Itapeva                          5
   663 3522505   Itapevi                         13
   664 3522604   Itapira                          3
   665 3522703   Itápolis                         2
   666 3523107   Itaquaquecetuba                 16
   667 3523206   Itararé                          2
   668 3523305   Itariri                          2
   669 3523404   Itatiba                          5
   670 3523909   Itu                              7
   671 3524006   Itupeva                          2
   672 3524105   Ituverava                        2
   673 3524303   Jaboticabal                      3
   674 3524402   Jacareí                          8
   675 3524709   Jaguariúna                       2
   676 3524808   Jales                            2
   677 3525003   Jandira                          5
   678 3525102   Jardinópolis                     2
   679 3525300   Jaú                              7
   680 3525706   José Bonifácio                   2
   681 3525904   Jundiaí                         24
   682 3526704   Leme                             5
   683 3526803   Lençóis Paulista                 3
   684 3526902   Limeira                          6
   685 3527108   Lins                             3
   686 3527207   Lorena                           4
   687 3527306   Louveira                         2
   688 3528403   Mairinque                        2
   689 3528502   Mairiporã                        3
   690 3529005   Marília                         10
   691 3529302   Matão                            4
   692 3529401   Mauá                            21
   693 3530300   Mirassol                         2
   694 3530508   Mococa                           4
   695 3530607   Mogi das Cruzes                 24
   696 3530706   Mogi Guaçu                       8
   697 3530805   Moji Mirim                       4
   698 3531100   Mongaguá                         2
   699 3531308   Monte Alto                       2
   700 3531803   Monte Mor                        2
   701 3533403   Nova Odessa                      2
   702 3533502   Novo Horizonte                   2
   703 3533908   Olímpia                          2
   704 3534302   Orlândia                         2
   705 3534401   Osasco                          18
   706 3534609   Osvaldo Cruz                     2
   707 3534708   Ourinhos                         5
   708 3535507   Paraguaçu Paulista               2
   709 3536505   Paulínia                         4
   710 3536703   Pederneiras                      2
   711 3537107   Pedreira                         2
   712 3537305   Penápolis                        3
   713 3537602   Peruíbe                          3
   714 3537800   Piedade                          2
   715 3538006   Pindamonhangaba                  7
   716 3538709   Piracicaba                      20
   717 3538808   Piraju                           2
   718 3539301   Pirassununga                     4
   719 3539509   Pitangueiras                     2
   720 3539806   Poá                              5
   721 3540200   Pontal                           2
   722 3540606   Porto Feliz                      2
   723 3540705   Porto Ferreira                   2
   724 3541000   Praia Grande                    10
   725 3541307   Presidente Epitácio              2
   726 3541406   Presidente Prudente             12
   727 3541505   Presidente Venceslau             2
   728 3541604   Promissão                        2
   729 3542206   Rancharia                        2
   730 3542602   Registro                         2
   731 3543303   Ribeirão Pires                   6
   732 3543402   Ribeirão Preto                  19
   733 3543907   Rio Claro                       10
   734 3544103   Rio Grande da Serra              2
   735 3545209   Salto                            6
   736 3545308   Salto de Pirapora                2
   737 3545803   Santa Bárbara d'Oeste            8
   738 3546306   Santa Cruz das Palmeiras         2
   739 3546405   Santa Cruz do Rio Pardo          2
   740 3546603   Santa Fé do Sul                  2
   741 3546801   Santa Isabel                     2
   742 3547304   Santana de Parnaíba              4
   743 3547809   Santo André                     23
   744 3548500   Santos                           8
   745 3548708   São Bernardo do Campo           19
   746 3548807   São Caetano do Sul               8
   747 3548906   São Carlos                      14
   748 3549102   São João da Boa Vista            5
   749 3549409   São Joaquim da Barra             2
   750 3549706   São José do Rio Pardo            2
   751 3549805   São José do Rio Preto           23
   752 3549904   São José dos Campos             13
   753 3550100   São Manuel                       2
   754 3550209   São Miguel Arcanjo               2
   755 3550308   São Paulo                      310
   756 3550407   São Pedro                        2
   757 3550605   São Roque                        3
   758 3550704   São Sebastião                    4
   759 3551009   São Vicente                     11
   760 3551504   Serrana                          2
   761 3551702   Sertãozinho                      6
   762 3552106   Socorro                          2
   763 3552205   Sorocaba                        19
   764 3552403   Sumaré                          15
   765 3552502   Suzano                           3
   766 3552809   Taboão da Serra                 10
   767 3553708   Taquaritinga                     3
   768 3554003   Tatuí                            4
   769 3554102   Taubaté                         14
   770 3554508   Tietê                            2
   771 3554805   Tremembé                         2
   772 3555000   Tupã                             3
   773 3555406   Ubatuba                          4
   774 3556206   Valinhos                         5
   775 3556404   Vargem Grande do Sul             2
   776 3556453   Vargem Grande Paulista           2
   777 3556503   Várzea Paulista                  4
   778 3556701   Vinhedo                          3
   779 3557006   Votorantim                       6
   780 3557105   Votuporanga                      5
   781 4100400   Almirante Tamandaré              4
   782 4101408   Apucarana                        7
   783 4101507   Arapongas                        6
   784 4101804   Araucária                        6
   785 4102000   Assis Chateaubriand              2
   786 4102406   Bandeirantes                     2
   787 4103701   Cambé                            5
   788 4104006   Campina Grande do Sul            2
   789 4104204   Campo Largo                      5
   790 4104303   Campo Mourão                     5
   791 4104808   Cascavel                        17
   792 4104907   Castro                           3
   793 4105508   Cianorte                         4
   794 4105805   Colombo                         11
   795 4106407   Cornélio Procópio                2
   796 4106902   Curitiba                        55
   797 4107207   Dois Vizinhos                    2
   798 4107652   Fazenda Rio Grande               4
   799 4108304   Foz do Iguaçu                   11
   800 4108403   Francisco Beltrão                5
   801 4108601   Goioerê                          2
   802 4108809   Guaíra                           2
   803 4109401   Guarapuava                       9
   804 4109609   Guaratuba                        2
   805 4109807   Ibiporã                          2
   806 4110102   Imbituva                         2
   807 4110706   Irati                            3
